,Player,Dealer,Ace,Hit Flag,Stand,Hit,Double Down,Surrender,Best Action Index,Best Action
595,18,9,1,1,-45.05709325560389,-39.39619770537463,-192.24499477691282,-275.9098099800131,1,H
596,18,10,0,0,-95.46692277900893,-109.92198478436896,-169.69320690815061,-88.47564216381521,3,Su
597,18,10,0,1,-49.465852566899386,-108.58915195208235,-1034.6360137063443,-1024.2485714029283,0,S
598,18,10,1,0,-75.2577336295959,-41.9014637524417,-48.88084949602231,-64.61293859604613,1,H
599,18,10,1,1,-55.44179759569461,-46.434467048142785,-579.2799709081324,-344.68831841432865,1,H
600,19,1,0,0,-86.17211393458486,-83.62700212449452,-125.77391191599602,-86.27612660927943,1,H
601,19,1,0,1,-29.68541717858495,-99.323875894404,-417.09434866306066,-711.5272534463513,0,S
602,19,1,1,0,-23.136335185598888,-50.89596856954368,-69.04675637047168,-61.5975653897783,0,S
603,19,1,1,1,-63.623490197579436,-43.41242902357247,-276.2084079017126,-275.64681151518135,1,H
604,19,2,0,0,34.541976068664184,-74.01106053419102,-88.46643340460068,-41.409253663995635,0,S
605,19,2,0,1,10.728580364431325,-41.03281805135,-638.1603144417941,-515.8306333886986,0,S
606,19,2,1,0,14.571241015117721,-4.776070249985754,-4.506755800060052,-16.02283393959705,0,S
607,19,2,1,1,13.92495120811001,-11.13962520243222,-185.23845677728377,-265.76400648190827,0,S
608,19,3,0,0,18.383156271401003,-78.72955531270645,-85.47699605826753,-43.95824167677938,0,S
609,19,3,0,1,-1.2746003579384908,-44.22890958143544,-335.37994491312895,-701.6407895295285,0,S
610,19,3,1,0,17.855315412509903,-7.567273210186805,-14.445423031026307,-32.765185435113196,0,S
611,19,3,1,1,-13.89927833123451,-14.036763995982266,-98.90506866919412,-330.5217521312361,0,S
612,19,4,0,0,-23.73308662598945,-79.24027018416179,-137.97152226464976,-60.84960290599135,0,S
613,19,4,0,1,-0.5645778703398454,-57.86319275251205,-514.1930578835392,-405.69456024171484,0,S
614,19,4,1,0,17.131652908424357,-1.0602738717639322,-1.2935633271555815,-18.95431275426757,0,S
615,19,4,1,1,17.546337688815495,-4.357004922115857,-97.55644576829297,-94.84628095103788,0,S
616,19,5,0,0,-18.292818614949073,-80.50629994724567,-79.53494853628084,-59.13899592975625,0,S
617,19,5,0,1,33.17710524317083,-73.61000460066235,-515.8118653457534,-460.78181143830835,0,S
618,19,5,1,0,-5.843912501558996,-6.725445303952549,64.11496236180132,-10.913621076388084,2,D
619,19,5,1,1,-16.39449421741001,-11.149094306847374,-337.45512123609524,-100.0,1,H
620,19,6,0,0,5.3989110920862835,-81.1777915127208,-117.21705368072229,-39.58055702046721,0,S
621,19,6,0,1,31.19489937260825,-68.16187757710848,-459.4297998158182,-401.6949473382849,0,S
622,19,6,1,0,24.09605566961801,-3.738494591472427,-12.03482427431614,-23.906610252787868,0,S
623,19,6,1,1,-5.832552604968987,3.909828383121112,-96.59050853351796,-188.15579010868063,1,H
624,19,7,0,0,32.621437954108735,-53.06016012876554,-51.085247463683885,-64.49813956405642,0,S
625,19,7,0,1,75.61723047722336,-59.50841930223663,-628.5821465624842,-744.6772678308557,0,S
626,19,7,1,0,42.87277953159326,1.893313697702653,-7.5313222665382185,-17.601225279587354,0,S
627,19,7,1,1,37.27138351857066,-8.563104135689912,0.0,-96.54571464069464,0,S
628,19,8,0,0,22.378068739739952,-60.78660468376444,-84.79160612895538,-22.64098278331885,0,S
629,19,8,0,1,33.94810852911449,-58.0589646411027,-457.2840753548139,-584.7909350412483,0,S
630,19,8,1,0,-10.835739085615828,-33.56187608691125,-22.314846902187515,-35.36676013701805,0,S
631,19,8,1,1,18.997575702479747,-9.08492220733535,-97.18570473414947,-94.86582312858877,0,S
632,19,9,0,0,17.25595698849632,-73.90174636602708,-132.24512254920646,-69.77433663293202,0,S
633,19,9,0,1,0.6598440366251053,-80.98327123266074,-516.3691812129938,-681.6212339489196,0,S
634,19,9,1,0,-33.30103439494343,-34.51746058232605,-34.646446683153165,-34.39269635439017,0,S
