,State,Action
634,"(19, 9, 1, 0)",0
635,"(19, 9, 1, 1)",0
636,"(19, 10, 0, 0)",0
637,"(19, 10, 0, 1)",0
638,"(19, 10, 1, 0)",0
639,"(19, 10, 1, 1)",0
640,"(20, 1, 0, 0)",0
641,"(20, 1, 0, 1)",0
642,"(20, 1, 1, 0)",0
643,"(20, 1, 1, 1)",0
644,"(20, 2, 0, 0)",0
645,"(20, 2, 0, 1)",0
646,"(20, 2, 1, 0)",0
647,"(20, 2, 1, 1)",0
648,"(20, 3, 0, 0)",0
649,"(20, 3, 0, 1)",0
650,"(20, 3, 1, 0)",0
651,"(20, 3, 1, 1)",0
652,"(20, 4, 0, 0)",0
653,"(20, 4, 0, 1)",0
654,"(20, 4, 1, 0)",0
655,"(20, 4, 1, 1)",0
656,"(20, 5, 0, 0)",0
657,"(20, 5, 0, 1)",0
658,"(20, 5, 1, 0)",0
659,"(20, 5, 1, 1)",0
660,"(20, 6, 0, 0)",0
661,"(20, 6, 0, 1)",0
662,"(20, 6, 1, 0)",0
663,"(20, 6, 1, 1)",0
664,"(20, 7, 0, 0)",0
665,"(20, 7, 0, 1)",0
666,"(20, 7, 1, 0)",0
667,"(20, 7, 1, 1)",0
668,"(20, 8, 0, 0)",0
669,"(20, 8, 0, 1)",0
670,"(20, 8, 1, 0)",0
671,"(20, 8, 1, 1)",0
672,"(20, 9, 0, 0)",0
673,"(20, 9, 0, 1)",0
674,"(20, 9, 1, 0)",0
675,"(20, 9, 1, 1)",0
676,"(20, 10, 0, 0)",0
677,"(20, 10, 0, 1)",0
678,"(20, 10, 1, 0)",0
679,"(20, 10, 1, 1)",0
680,"(21, 1, 0, 0)",0
681,"(21, 1, 0, 1)",0
682,"(21, 1, 1, 0)",0
683,"(21, 1, 1, 1)",0
684,"(21, 2, 0, 0)",0
685,"(21, 2, 0, 1)",0
686,"(21, 2, 1, 0)",0
687,"(21, 2, 1, 1)",0
688,"(21, 3, 0, 0)",0
689,"(21, 3, 0, 1)",0
690,"(21, 3, 1, 0)",0
691,"(21, 3, 1, 1)",0
692,"(21, 4, 0, 0)",0
693,"(21, 4, 0, 1)",0
694,"(21, 4, 1, 0)",0
695,"(21, 4, 1, 1)",0
696,"(21, 5, 0, 0)",0
697,"(21, 5, 0, 1)",0
698,"(21, 5, 1, 0)",0
699,"(21, 5, 1, 1)",0
700,"(21, 6, 0, 0)",0
701,"(21, 6, 0, 1)",0
702,"(21, 6, 1, 0)",0
703,"(21, 6, 1, 1)",0
704,"(21, 7, 0, 0)",0
705,"(21, 7, 0, 1)",0
706,"(21, 7, 1, 0)",0
707,"(21, 7, 1, 1)",0
708,"(21, 8, 0, 0)",0
709,"(21, 8, 0, 1)",0
710,"(21, 8, 1, 0)",0
711,"(21, 8, 1, 1)",0
712,"(21, 9, 0, 0)",0
713,"(21, 9, 0, 1)",0
714,"(21, 9, 1, 0)",0
715,"(21, 9, 1, 1)",0
716,"(21, 10, 0, 0)",0
717,"(21, 10, 0, 1)",0
718,"(21, 10, 1, 0)",0
719,"(21, 10, 1, 1)",0
